class,class_name,dataset,width,height,brightness,contrast,sharpness,r_mean,g_mean,b_mean,r_std,g_std,b_std
0,Normal,ODIR,512,512,88.164794921875,51.16511222530219,265.42343128379434,127.54619216918945,75.00813674926758,52.571693420410156,74.5877499199559,43.62231960180468,29.907696988893118
0,Normal,ODIR,512,512,55.03245544433594,35.49477261319468,146.94709496466385,69.84159469604492,52.35258865356445,29.972091674804688,47.029292666025306,33.453449051113544,22.330509542509752
0,Normal,ODIR,512,512,107.21443557739258,58.93646896068514,296.24312526895665,137.23576736450195,99.40993118286133,68.50143051147461,76.06107479814689,54.837475275161786,37.847936823639095
0,Normal,ODIR,512,512,38.587501525878906,27.067957718677583,38.647333380169584,44.27175521850586,38.51899719238281,24.362945556640625,32.26959316017233,26.877834677588943,15.279896420926516
0,Normal,ODIR,512,512,91.39934921264648,41.03427897649312,459.58308096833935,95.83831024169922,90.64035034179688,83.63973999023438,53.25076539176025,42.51597583205023,46.05684992822254
0,Normal,ODIR,512,512,70.7275161743164,40.09215270622704,228.13220944162458,114.2831916809082,57.928253173828125,22.34627914428711,64.21400267637597,34.1864736893606,16.145309966054654
0,Normal,ODIR,512,512,46.21175003051758,28.194909517451567,56.6493225088343,64.87667083740234,42.2039909362793,17.796104431152344,40.53064165648748,25.657005649059954,10.648502302184166
0,Normal,ODIR,512,512,112.26105880737305,67.16089866288326,373.4252393170609,143.2351417541504,103.1433219909668,77.84880065917969,84.18037572739098,63.08280118248419,46.35015676951011
0,Normal,ODIR,512,512,90.4750862121582,40.56801419801881,275.71812399383634,119.23177337646484,81.31747436523438,62.149417877197266,57.66222180422226,37.062561164454394,29.042812082628473
0,Normal,ODIR,512,512,71.88494110107422,42.77699344850261,239.44310216406302,105.93402862548828,61.85056686401367,34.20170593261719,60.79865640018523,41.52999434023827,25.18279217416055
0,Normal,ODIR,512,512,47.725616455078125,33.07307597453473,297.38014220719924,75.46969223022461,41.45042419433594,7.275714874267578,49.47343453314615,30.224313578471648,9.878814570094171
0,Normal,ODIR,512,512,28.695205688476562,22.580400794158436,21.128929092548788,49.8699951171875,21.791061401367188,8.62860107421875,41.322449445326896,16.827264026950562,6.432683709812501
0,Normal,ODIR,512,512,82.91039657592773,40.25415483462276,144.23407098567986,106.71414566040039,75.94710922241211,56.278236389160156,52.25557918074898,37.18074765076799,26.671657746442904
0,Normal,ODIR,512,512,93.6907730102539,55.34243862265211,282.92602917585464,120.00457382202148,87.95569229125977,54.04948806762695,69.79922109120061,52.759335324276186,32.80732270535083
0,Normal,ODIR,512,512,75.35534286499023,47.4291883766493,253.6685263895779,90.23336410522461,73.40458297729492,46.32904815673828,60.18964091266142,45.79885804089529,29.40972153211723
0,Normal,ODIR,512,512,97.99893569946289,58.8180408588842,218.57725492160534,127.44112396240234,89.14936447143555,66.29597854614258,74.03475438381139,54.96279740136176,41.01834274480803
0,Normal,ODIR,512,512,76.45123672485352,43.59698122838835,129.49661839169858,116.32178115844727,64.61848449707031,32.689781188964844,65.77213450848934,37.41759173684073,19.222153216079214
0,Normal,ODIR,512,512,78.48523712158203,44.005590208034036,281.44172845930734,119.74674224853516,66.82231521606445,30.255592346191406,67.97903254369865,38.23916595313802,19.70019497863214
0,Normal,ODIR,512,512,68.09992218017578,38.0153317209749,219.31770443334244,130.80479049682617,49.04329299926758,1.9826316833496094,73.92124246985917,28.20477385917014,3.467350815149365
0,Normal,ODIR,512,512,37.06471252441406,27.29611337520804,304.9443663954735,59.96110153198242,32.006534576416016,3.1363792419433594,41.832581690237184,25.018935990054764,5.45797952573957
0,Normal,ODIR,512,512,87.72012329101562,46.87617942874997,217.35426106744853,134.1405029296875,73.08831405639648,41.25975036621094,70.75297343327279,40.08592219975409,23.45326073903481
0,Normal,ODIR,512,512,57.03010940551758,35.150367853535826,95.95054098682886,90.52437591552734,46.180973052978516,24.980770111083984,54.491070575397266,29.654571547280483,14.926043989531745
0,Normal,ODIR,512,512,20.303897857666016,16.39964559418316,408.8105697573628,24.51003646850586,21.43956756591797,3.5152549743652344,20.852261302552883,18.260690001665505,4.434724609425111
0,Normal,ODIR,512,512,66.48522186279297,40.695054098637534,93.52719441217778,99.55056381225586,54.045528411865234,43.763648986816406,59.48590221488991,34.333242660486924,27.791992867887043
0,Normal,ODIR,512,512,84.4562873840332,48.40307154001178,194.96214941795915,133.99160766601562,67.76114654541016,40.47354507446289,77.49405001379088,41.053745976553785,24.868121593410883
0,Normal,ODIR,512,512,74.8713150024414,48.6322469117264,149.0965574280708,107.06635665893555,64.6732177734375,42.838565826416016,67.08336755513413,43.6134542812839,28.4427671324094
0,Normal,ODIR,512,512,55.429325103759766,37.259452624382604,110.26249291629938,91.89517974853516,44.7875862121582,14.510631561279297,61.098227529496576,30.85219947004308,12.194898090419825
0,Normal,ODIR,512,512,95.18597030639648,53.53006893216919,349.5498502470873,131.86629104614258,85.3614501953125,49.4195556640625,74.82599001018156,48.01694014247427,27.321325597777154
0,Normal,ODIR,512,512,60.122798919677734,37.32509176826702,64.95883054599108,94.36841201782227,49.143856048583984,26.731189727783203,57.01421442889707,31.733289874611852,16.590062968845412
